treatment,replicate,month,day,month_adjust,host_age,day_past_infect,day_metsch_infect,day_infect,dead,missing,babies,coinf_treat,notes
6,12,June,28,-20,8,12,0,12,,,0,1,
6,13,June,28,-20,8,12,0,12,,,0,1,
6,14,June,28,-20,8,12,0,12,,,0,1,
6,15,June,28,-20,8,12,0,12,,,0,1,
6,16,June,28,-20,8,12,0,12,,,0,1,
6,17,June,28,-20,8,12,0,12,,,0,1,
6,18,June,28,-20,8,12,0,12,,,3,1,
6,19,June,28,-20,8,12,0,12,,,0,1,
6,20,June,28,-20,8,12,0,12,,,0,1,
6,21,June,28,-20,8,12,0,12,,,0,1,
6,22,June,28,-20,8,12,0,12,,,0,1,
6,23,June,28,-20,8,12,0,12,,,0,1,
6,24,June,28,-20,8,12,0,12,,,0,1,
6,25,June,28,-20,8,12,0,12,,,0,1,
6,26,June,28,-20,8,12,0,12,,,0,1,
6,27,June,28,-20,8,12,0,12,,,0,1,
6,28,June,28,-20,8,12,0,12,,,0,1,
6,29,June,28,-20,8,12,0,12,,,0,1,
6,30,June,28,-20,8,12,0,12,,,5,1,
7,1,June,28,-20,8,0,12,12,,,0,2,
7,2,June,28,-20,8,0,12,12,,,0,2,
7,3,June,28,-20,8,0,12,12,,,0,2,
7,4,June,28,-20,8,0,12,12,,,0,2,
7,5,June,28,-20,8,0,12,12,,,0,2,
7,6,June,28,-20,8,0,12,12,,,0,2,
7,7,June,28,-20,8,0,12,12,,,0,2,
7,8,June,28,-20,8,0,12,12,,,0,2,
7,9,June,28,-20,8,0,12,12,,,0,2,
7,10,June,28,-20,8,0,12,12,Y,Y,0,2,Replaced (0 babies)
7,11,June,28,-20,8,0,12,12,,,1,2,
7,12,June,28,-20,8,0,12,12,,,0,2,
7,13,June,28,-20,8,0,12,12,,,0,2,
7,14,June,28,-20,8,0,12,12,,,0,2,
7,15,June,28,-20,8,0,12,12,,,0,2,
7,16,June,28,-20,8,0,12,12,,,0,2,
7,17,June,28,-20,8,0,12,12,,,0,2,
7,18,June,28,-20,8,0,12,12,,,0,2,
7,19,June,28,-20,8,0,12,12,,,0,2,
7,20,June,28,-20,8,0,12,12,,,0,2,
7,21,June,28,-20,8,0,12,12,,,0,2,
7,22,June,28,-20,8,0,12,12,,,1,2,
7,23,June,28,-20,8,0,12,12,,,0,2,
7,24,June,28,-20,8,0,12,12,,,0,2,
7,25,June,28,-20,8,0,12,12,,,0,2,
7,26,June,28,-20,8,0,12,12,,,0,2,
7,27,June,28,-20,8,0,12,12,,,0,2,
7,28,June,28,-20,8,0,12,12,,,0,2,
7,29,June,28,-20,8,0,12,12,,,0,2,
7,30,June,28,-20,8,0,12,12,,,0,2,
8,1,June,28,-20,8,12,15,12,,,0,3,
8,2,June,28,-20,8,12,15,12,,,0,3,
8,3,June,28,-20,8,12,15,12,,,0,3,
8,4,June,28,-20,8,12,15,12,,,0,3,
8,5,June,28,-20,8,12,15,12,,,0,3,
8,6,June,28,-20,8,12,15,12,,,0,3,
8,7,June,28,-20,8,12,15,12,,,0,3,
8,8,June,28,-20,8,12,15,12,,,0,3,
8,9,June,28,-20,8,12,15,12,,,0,3,
8,10,June,28,-20,8,12,15,12,,,4,3,
8,11,June,28,-20,8,12,15,12,,,0,3,
8,12,June,28,-20,8,12,15,12,,,0,3,
8,13,June,28,-20,8,12,15,12,,,3,3,
8,14,June,28,-20,8,12,15,12,,,4,3,
8,15,June,28,-20,8,12,15,12,,,0,3,
8,16,June,28,-20,8,12,15,12,,,0,3,
8,17,June,28,-20,8,12,15,12,,,0,3,
8,18,June,28,-20,8,12,15,12,,,0,3,
8,19,June,28,-20,8,12,15,12,,,2,3,
8,20,June,28,-20,8,12,15,12,,,0,3,
8,21,June,28,-20,8,12,15,12,,,0,3,
8,22,June,28,-20,8,12,15,12,,,2,3,
8,23,June,28,-20,8,12,15,12,,,0,3,
8,24,June,28,-20,8,12,15,12,,,0,3,
8,25,June,28,-20,8,12,15,12,,,0,3,
8,26,June,28,-20,8,12,15,12,,,0,3,
8,27,June,28,-20,8,12,15,12,,,1,3,
8,28,June,28,-20,8,12,15,12,,,0,3,
8,29,June,28,-20,8,12,15,12,,,0,3,
8,30,June,28,-20,8,12,15,12,,,0,3,
12,1,June,28,-20,8,20,23,20,,,3,3,
12,2,June,28,-20,8,20,23,20,,,0,3,
12,3,June,28,-20,8,20,23,20,,,0,3,
12,4,June,28,-20,8,20,23,20,,,0,3,
12,5,June,28,-20,8,20,23,20,,,3,3,
12,6,June,28,-20,8,20,23,20,,,2,3,
12,7,June,28,-20,8,20,23,20,,,3,3,
12,8,June,28,-20,8,20,23,20,,,1,3,
12,9,June,28,-20,8,20,23,20,,,0,3,
12,10,June,28,-20,8,20,23,20,,,0,3,
12,11,June,28,-20,8,20,23,20,,,0,3,
12,12,June,28,-20,8,20,23,20,,,0,3,
12,13,June,28,-20,8,20,23,20,,,0,3,
12,14,June,28,-20,8,20,23,20,,,0,3,
12,15,June,28,-20,8,20,23,20,,,0,3,
12,16,June,28,-20,8,20,23,20,,,0,3,
12,17,June,28,-20,8,20,23,20,,,0,3,
12,18,June,28,-20,8,20,23,20,,,0,3,
12,19,June,28,-20,8,20,23,20,,,0,3,
12,20,June,28,-20,8,20,23,20,,,0,3,
12,21,June,28,-20,8,20,23,20,,,0,3,
12,22,June,28,-20,8,20,23,20,,,0,3,
12,23,June,28,-20,8,20,23,20,,,0,3,
12,24,June,28,-20,8,20,23,20,,,0,3,
12,25,June,28,-20,8,20,23,20,,,0,3,
12,26,June,28,-20,8,20,23,20,,,0,3,
12,27,June,28,-20,8,20,23,20,,,0,3,
12,28,June,28,-20,8,20,23,20,,,0,3,
12,29,June,28,-20,8,20,23,20,,,0,3,
12,30,June,28,-20,8,20,23,20,,,0,3,
13,1,June,28,-20,8,23,20,20,,,0,4,
13,2,June,28,-20,8,23,20,20,,,0,4,
13,3,June,28,-20,8,23,20,20,,,0,4,
13,4,June,28,-20,8,23,20,20,,,0,4,
13,5,June,28,-20,8,23,20,20,,,0,4,
13,6,June,28,-20,8,23,20,20,,,0,4,
13,7,June,28,-20,8,23,20,20,,,0,4,
13,8,June,28,-20,8,23,20,20,,,0,4,
13,9,June,28,-20,8,23,20,20,,,0,4,
13,10,June,28,-20,8,23,20,20,,,0,4,
13,11,June,28,-20,8,23,20,20,,,3,4,
13,12,June,28,-20,8,23,20,20,,,0,4,
13,13,June,28,-20,8,23,20,20,,,2,4,
13,14,June,28,-20,8,23,20,20,,,0,4,
13,15,June,28,-20,8,23,20,20,,,0,4,
13,16,June,28,-20,8,23,20,20,,,0,4,
13,17,June,28,-20,8,23,20,20,,,0,4,
13,18,June,28,-20,8,23,20,20,,,0,4,
13,19,June,28,-20,8,23,20,20,,,0,4,
13,20,June,28,-20,8,23,20,20,,,0,4,
13,21,June,28,-20,8,23,20,20,,,0,4,
13,22,June,28,-20,8,23,20,20,,,0,4,
13,23,June,28,-20,8,23,20,20,,,2,4,
13,24,June,28,-20,8,23,20,20,,,2,4,
13,25,June,28,-20,8,23,20,20,,,0,4,
13,26,June,28,-20,8,23,20,20,,,0,4,
13,27,June,28,-20,8,23,20,20,,,0,4,
13,28,June,28,-20,8,23,20,20,,,3,4,
13,29,June,28,-20,8,23,20,20,,,0,4,
13,30,June,28,-20,8,23,20,20,,,0,4,
5,1,June,28,-20,8,7,4,4,,,0,4,
5,2,June,28,-20,8,7,4,4,,,0,4,
5,3,June,28,-20,8,7,4,4,,,0,4,
5,4,June,28,-20,8,7,4,4,,,0,4,
5,5,June,28,-20,8,7,4,4,,,0,4,
5,6,June,28,-20,8,7,4,4,,,0,4,
5,7,June,28,-20,8,7,4,4,,,2,4,
5,8,June,28,-20,8,7,4,4,,,2,4,
5,9,June,28,-20,8,7,4,4,,,0,4,
5,10,June,28,-20,8,7,4,4,,,0,4,
5,11,June,28,-20,8,7,4,4,,,0,4,
5,12,June,28,-20,8,7,4,4,,,0,4,
5,13,June,28,-20,8,7,4,4,,,0,4,
5,14,June,28,-20,8,7,4,4,,Y,0,4,
5,15,June,28,-20,8,7,4,4,,,0,4,
5,16,June,28,-20,8,7,4,4,,Y,0,4,
5,17,June,28,-20,8,7,4,4,,Y,0,4,
5,18,June,28,-20,8,7,4,4,,,0,4,
5,19,June,28,-20,8,7,4,4,Y,,0,4,
5,20,June,28,-20,8,7,4,4,,,0,4,
5,21,June,28,-20,8,7,4,4,,,0,4,
5,22,June,28,-20,8,7,4,4,,,0,4,
5,23,June,28,-20,8,7,4,4,,,0,4,
5,24,June,28,-20,8,7,4,4,,,0,4,
5,25,June,28,-20,8,7,4,4,,,0,4,
5,26,June,28,-20,8,7,4,4,,,0,4,
5,27,June,28,-20,8,7,4,4,,,0,4,
5,28,June,28,-20,8,7,4,4,,,0,4,
5,29,June,28,-20,8,7,4,4,,,0,4,
5,30,June,28,-20,8,7,4,4,,,0,4,
3,1,June,28,-20,8,0,4,4,,,0,2,
3,2,June,28,-20,8,0,4,4,,,0,2,
3,3,June,28,-20,8,0,4,4,,,0,2,
3,4,June,28,-20,8,0,4,4,,,0,2,
